date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-08-06,Energy Aspects,Energy Research/Consulting - Geospatial Market Intelligence,Geospatial Energy Markets Analyst,Full-time,Company career site (careers.energyaspects.com),found,,high,"Confirmed live via direct fetch (careers.energyaspects.com/jobs/557146), Apply Now active, no deadline listed. Athens, Greece - EU member state, satisfies EU/USA location rule. Tech Product department, hybrid, permanent full-time, reports to Constantinos Spanachis. Role uses geospatial/Earth Observation techniques (mapping oil/gas/LNG infrastructure - fields, pipelines, ports, storage, transit routes) to answer energy-market research questions - strong match to candidate's QGIS geospatial mapping skill plus upstream oil & gas domain background, and a good step toward her stated pivot to research-analyst scope. Years-of-experience requirement not explicitly stated on the page (JS-rendered skills section did not fully load on fetch) - verify seniority level directly before applying. Found among 6 firms searched (Wood Mackenzie, S&P Global Commodity Insights, Rystad Energy, Enverus, Westwood Global Energy Group, and similar boutique firms); this was the only posting across all 6 to survive liveness + EU/USA-only + experience-level verification - see this run's ~90 candidate links checked.",,,job-scraper
2026-08-06,TotalEnergies,Oil & Gas Exploration & Production (Upstream Digital Geoscience),Digital Geoscientist (CDI - Geoscientifique Numerique),Full-time,Company career site (jobs.totalenergies.com),found,,high,"Confirmed live via direct fetch, Apply button active. Pau, France - EU member state, no visa needed for candidate as an EU/Italian citizen. Requires 3-7 yrs experience - matches candidate's 3 yrs; Master's degree explicitly sufficient (PhD not required). Genuine upstream O&G role at a major (TotalEnergies OneTech), applying geoscience to digital/interpretation workflows - confirmed not mining. Role leans toward digital/programming skills (Python, SQL, cloud) alongside core geoscience, so candidate should emphasize any coding/data-workflow experience (incl. Claude Code / agentic tooling use) when tailoring the application.",,,job-scraper
2026-08-06,Matador Resources Company,Oil & Gas Exploration & Production (Upstream Operations Geology),Operations Geologist,Full-time,LinkedIn (cross-verified via Indeed),found,,high,"Confirmed live via direct fetch on both LinkedIn (188 applicants, Apply button active) and Indeed independently. Dallas, TX (MAXCOM 24-hr operations command center - office role, not wellsite, 7-on/7-off 12-hr shifts). Genuine upstream O&G: geosteering/operations geology for Permian/Delaware Basin drilling - confirmed not mining. Listed as entry-level, M.S. preferred, targets recent grads with internship or full-time experience - good fit for candidate's 3 yrs + 2 relevant internships. CAUTION: description text still references 'graduating May 2024-May 2025', suggesting a possibly stale/recycled template - verify currency with recruiter before applying. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. Matador is a mid-cap independent (~$8-9B market cap), domestically Permian-focused - visa sponsorship for a first-time hire is unlikely at this size.",,,job-scraper
2026-08-06,DHI,Water Resources/Environmental Engineering Consulting - Geospatial,Water Resources GIS Specialist,Full-time,LinkedIn,found,,high,"Confirmed live via direct fetch. Kraków/Rzeszów/Gdynia/Warsaw, Poland - EU member state, satisfies candidate's EU-or-USA constraint. Requires 3+ yrs GIS experience, matches candidate exactly. Explicitly accepts 'ArcGIS or QGIS' - no Esri-only barrier. Environmental/water engineering consultancy - strong domain overlap with candidate's subsurface/CCS background.",,,job-scraper
2026-08-06,Boskalis,Offshore/Marine Engineering Consulting - Geospatial,GIS Specialist,Full-time,LinkedIn,found,,high,"Confirmed live via direct fetch. Papendrecht, Netherlands - EU member state. Deadline before Sept 1 2026. Requires 3+ yrs GIS, matches candidate exactly. Explicitly accepts 'ArcGIS Pro or QGIS' - QGIS is candidate's core tool, no Esri barrier. Major offshore/marine dredging engineering firm - very strong overlap with candidate's offshore geology background, best sector fit found this run.",,,job-scraper
2026-08-06,Christensen/Kromann ApS (ckgeo.dk),Geotechnical Consulting,Jordnær geotekniker til Bjerringbro eller Roskilde,Full-time,Asgaard Recruitment (ledigestillinger.asgaardrecruitment.dk),found,,high,"Confirmed live via direct fetch of ledigestillinger.asgaardrecruitment.dk/jobs/6498447. Candidate can choose Roskilde (Sjælland, in commute range) over the Bjerringbro/Jutland option; would be second colleague at a new Sjælland office. Requires 3+ yrs experience - exact match to candidate's level. Degree explicitly accepts 'anden relevant faglig baggrund' (other relevant academic background) alongside an engineering degree - good fit for MSc Geology, no strict engineering-only barrier. Small ~10-person consultancy; role blends fieldwork and office-based geotechnical calculations/reporting similar to candidate's GEO Engineering role, but is onshore/infrastructure geotechnics rather than offshore/CCS - a narrowing from her North Sea background, though still consistent with her stated pivot toward more strategic/office-based scope. No fixed deadline stated - apply promptly given rolling recruitment.",,,job-scraper
2026-08-07,Terracon,"Geotechnical/Environmental Consulting",Staff Geologist,Full-time,Company career site (careers.terracon.com),found,,high,"Confirmed live via direct fetch of careers.terracon.com/job/dallas/staff-geologist/37184/96218848608 (Apply Now button confirmed present in raw page source). Dallas, TX - this run's weekly Austin, TX scan found no live, appropriately-leveled Austin postings (see run notes), so this is logged as the best Texas fallback per the search's Houston/Dallas fallback rule; ~3.5 hrs / ~200 miles from Austin. Requires minimum 3 years related experience - exact match to candidate's level. Degree explicitly accepts 'Bachelor's in Geology, Hydrogeology, or related field' - strong fit for MSc Geology, no engineering-only barrier. Responsibilities (subsurface field data evaluation, soil boring oversight, site investigation reporting) closely match candidate's GEO Engineering site-investigation background. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. Terracon is a large domestic firm (~8,000 employees, 200+ US locations, employee-owned) but not a true multinational - visa sponsorship for a first-time non-executive hire is possible but not likely; verify sponsorship stance before applying.",,,job-scraper
2026-08-07,ExxonMobil,Oil & Gas Exploration & Production (Upstream Operations Geology),Unconventional Operations Geologist,Full-time,Company career site (jobs.exxonmobil.com),found,,high,"Confirmed live via direct fetch of jobs.exxonmobil.com/job/Spring-Unconventional-Operations-Geologist-TX-77389/1397414300/. Spring, TX (Houston area). Requires min. 3 yrs relevant experience (or MS + 2 yrs) in geosteering/wellsite/operations geology - matches candidate's 3 yrs + MSc closely. Genuine upstream O&G unconventional operations geology role - confirmed not mining. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. ExxonMobil is a major multinational with established technical-role sponsorship history, so sponsorship is plausible though not guaranteed - verify sponsorship stance before applying.",,,job-scraper
2026-08-07,Caltest Energy Services Ltd,Oil & Gas Exploration & Production (Wellsite Operations Geology),Wellsite Geologist,Full-time,Company career site (jobs.gohire.io),found,,high,"Confirmed live via direct fetch of jobs.gohire.io posting. Williston, ND (Bakken). Requires 2-5+ yrs wellsite/operational geology experience - matches candidate's 3 yrs. Real-time geological evaluation, mud logging, geosteering closely mirrors candidate's North Sea CPT/QC and Assistant Site Manager background. Salary posted $100,000-$180,000. CAUTION: posting dated Feb 2, 2026 (~6 months old at time of this scan), suggesting a possibly rolling/evergreen listing - verify currency with recruiter before applying. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. Caltest is a small independent wellsite-services firm - visa sponsorship for a non-US-authorized hire is unlikely at this size.",,,job-scraper
2026-08-07,Intetics,GIS/Geospatial Software Services,GIS Developer / Geospatial Analyst,Full-time,LinkedIn,found,,high,"Confirmed live via direct fetch of the LinkedIn posting (jobs/view/4445648417); active Apply button, posted 1 week ago, 34 applicants, no closure notice. Czechia - EU member state (not UK/Norway), no visa needed for candidate as an EU/Italian citizen. Entry level, no strict year count stated - fits candidate's 3 yrs. Explicitly accepts both 'ArcGIS and/or Esri APIs' AND 'QGIS and open-source geospatial tools' - best software fit found across this run's ~84 candidate links checked (Copenhagen/Denmark, Austin TX, New York NY, and EU/USA broad GIS Analyst scan), most of which required ArcGIS/Esri specifically with no QGIS acceptance. No deadline stated.",,,job-scraper
2026-08-08,IT34,GIS/Geospatial Consulting,GIS-konsulent til IT34,Full-time,LinkedIn,found,,high,"Confirmed live via direct fetch of dk.linkedin.com/jobs/view/gis-konsulent-til-it34-at-it34-4417217345, rolling/ongoing recruitment, no fixed deadline. Open to nyuddannet (recent graduate) through a few years' experience - flexible level, good match for candidate's 3 yrs. Explicitly names QGIS, PostgreSQL, GeoServer - open-source GIS stack matches candidate's core QGIS strength directly, no ArcGIS/Esri requirement or gap, best software fit found in this run's daily GIS Analyst scan (Copenhagen/DK, Austin TX, New York NY, EU/USA broad - 102 candidate links checked total, only 6 survived liveness verification). CAUTION: located in Nørre Alslev on Falster, Region Zealand - roughly 100-110km / 1h20-1h40 drive from central Copenhagen, a real commute constraint not addressed in the posting itself - verify hybrid/remote policy before applying. Same employer (IT34) also has a second, speculative 'søg uopfordret' (unsolicited application) GIS-konsulent listing based in Copenhagen itself with no confirmed vacancy behind it - worth a combined outreach covering both angles.",,,job-scraper
2026-08-09,Halliburton,Oil & Gas Exploration & Production (Offshore Wellsite/Mud Logging Services),Offshore Surface Data Logging Geologist I-II-Senior (Sperry),Full-time,Company career site (careers.halliburton.com),found,,high,"Confirmed live via direct fetch of careers.halliburton.com job posting (Req #209548, posted 6/25/2026, Apply button active). Broussard, LA (Lafayette, LA metro) - offshore surface/mud logging services for Sperry. Entry-level developmental track (no previous experience strictly required), but posting notes overqualified applicants may be slotted into Geologist II or Senior level - candidate's 3 yrs North Sea offshore site investigation + Assistant Site Manager experience is a strong background match, likely to be leveled up from the base posting. Genuine upstream O&G oilfield-services role - confirmed not mining. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. Halliburton is a large multinational oilfield-services company with an established sponsorship track record - plausible though not guaranteed.",,,job-scraper
2026-08-09,Shell,Oil & Gas Exploration & Production (Subsurface/Reservoir Engineering),Jr. Reservoir Engineer,Full-time,Company career site (shell.wd3.myworkdayjobs.com),found,,high,"Confirmed live via direct fetch of Shell's Workday job API (job R206286), posted 2026-07-27, canApply true. Kraków, Poland (Shell Business Operations hub, hybrid, min. 3 days on-site, relocation to Poland required) - EU member state, satisfies candidate's EU-or-USA constraint and is primary-priority (EU). DEADLINE 2026-08-15 (6 days from scan date) - apply immediately if interested. Requires 1-2 yrs experience (fresher/early career) - candidate's 3 yrs is a comfortable, slightly senior match. Degree explicitly accepts Geoscience, Reservoir Engineering, or Petroleum Engineering - good fit for MSc Geology. Role leans toward subsurface data management rather than field/exploration geology and is not CCS-specific, but is a genuine route into a major (Shell) with EU-country residency, avoiding the UK/Norway exclusion.",,,job-scraper
2026-08-10,"Wiss, Janney, Elstner Associates (WJE)",Materials Science/Engineering Consulting (Petrography),Petrographer (2+ Years),Full-time,Indeed,found,,high,"Confirmed live via direct fetch of Indeed posting (jk=9d6ccd37fbd6b6c8). Austin, TX 78717. Requires min. 2 yrs applied petrographic laboratory experience - matches candidate's 3 yrs. Degree explicitly requires Geology/materials science/geological engineering or related field with mineralogy/petrology/geochemistry coursework - strong fit for MSc Geology. Role is lab-based petrographic analysis of concrete/stone/building materials - a pivot from candidate's field/site-investigation background but leverages her facies/soil classification skills. Best US visa sponsorship signal found this run: WJE (~915 employees, 30 offices) has a confirmed H-1B track record including 20 LCAs FY22-24 with 100% approval rate, explicitly covering the Austin, TX location. Candidate is an EU citizen (Italian passport) with NO US work authorization - still verify current sponsorship stance before applying, but this is the strongest evidence found across this run's ~40 candidate links checked.",,,job-scraper
2026-08-10,RRC Power & Energy,Renewable Energy Geotechnical/Civil Engineering Consulting,Field Geologist I,Full-time,Indeed,found,,high,"Confirmed live via direct fetch of Indeed posting (jk=e21879f60790424d). Round Rock, TX 78681 (Austin metro, RRC's HQ). Entry-level 'Field Geologist I' title but substantive geotechnical field work (drilling/sampling oversight, soil/rock logging, construction materials testing) closely matches candidate's CPT/site-investigation background; heavy travel (95-100%). Degree explicitly accepts Bachelor's/Associate's in Civil Engineering, Geology, and Geophysics - no engineering-only barrier. Renewable-energy-focused geotechnical firm, regional/mid-size (Round Rock, TX HQ, PE-backed). US role: candidate is an EU citizen (Italian passport) with NO US work authorization. RRC Power & Energy has a confirmed recent visa sponsorship track record (4 visas incl. H-1B and EB-2/EB-3 sponsored in the past year) - a real, if modest, sponsorship signal for a small/mid-size firm, better than most alternatives found this run.",,,job-scraper
2026-08-10,TotalEnergies,Oil & Gas Exploration & Production (Subsurface Geophysics),CDI - Géophysicien (H/F/X),Full-time,Company career site (jobs.totalenergies.com),found,,high,"Confirmed live via direct fetch of jobs.totalenergies.com/en_US/careers/JobDetail/CDI-G-ophysicien-H-F-X/83139. Pau, France - EU member state, no visa needed for candidate as an EU/Italian citizen. Requires 3-7 yrs experience (min. 3) - matches candidate's 3 yrs exactly; Master's degree explicitly sufficient (no PhD required, unlike two other Pau geoscience reqs checked same day that required PhD). Subsurface/seismic characterization and structural & stratigraphic interpretation role - strong overlap with candidate's 2019 ENI seismic-interpretation internship (PETREL) and North Sea CPT/facies analysis work at GEO Engineering. Same TotalEnergies Pau hub as the previously-logged Digital Geoscientist req (83133), reinforcing this as an active EU hiring site for candidate's profile.",,,job-scraper
2026-08-10,IMPAC Exploration Services Inc.,Oil & Gas Exploration & Production (Wellsite/Geosteering Operations Geology),In-House Geosteering Geologist - Midland,Full-time,Indeed,found,,high,"Confirmed live via direct fetch of Indeed posting (jk=006f44c06a9b4668) - shows active 'Apply on company site' links, no expired/closed language. Midland, TX (Permian Basin, embedded on a major operator's drilling campus, 2-weeks-on/2-weeks-off rotation). Requires BS in Geology + min. 1 yr Permian Basin operations geology/geosteering experience - candidate's 3 yrs + MSc comfortably exceeds this. Genuine upstream O&G real-time geosteering/formation-correlation role - confirmed not mining, matches target 'operations geologist' title category directly. US role: candidate is an EU citizen (Italian passport) with NO US work authorization. IMPAC is a mid-size private oilfield-services (mud logging/geosteering) company, not a large multinational, and the posting emphasizes candidates already local to or relocating to Midland with no sponsorship language found - visa sponsorship plausibility is low, a real practical barrier despite the strong technical fit.",,,job-scraper
